date,wordcount,chapter,work
2019-05-28,6450,Breaking – 14.4,Ward
2019-06-01,6602,Breaking – 14.5,Ward
2019-06-04,7933,Breaking – 14.6,Ward
2019-06-08,7734,Breaking – 14.7,Ward
2019-06-11,7734,Breaking – 14.8,Ward
2019-06-15,7791,Breaking – 14.9,Ward
2019-06-18,7292,Breaking – 14.10,Ward
2019-06-22,6474,Breaking – 14.11,Ward
2019-06-25,7034,Breaking – 14.12,Ward
2019-06-29,7574,Breaking – 14.z,Ward
2019-07-02,8976,Dying – 15.a,Ward
2019-07-06,7207,Dying – 15.1,Ward
2019-07-09,8087,Dying – 15.2,Ward
2019-07-13,7686,Dying – 15.3,Ward
2019-07-16,7969,Dying – 15.4,Ward
2019-07-20,7526,Dying – 15.5,Ward
2019-07-23,7498,Dying – 15.6,Ward
2019-07-27,5657,Dying – 15.7,Ward
2019-07-30,7266,Dying – 15.8,Ward
2019-08-03,8088,Dying – 15.x,Ward
2019-08-06,7960,Dying – 15.y,Ward
2019-08-10,9985,Dying – 15.z,Ward
2019-08-13,7178,From Within – 16.1,Ward
2019-08-17,6650,From Within – 16.2,Ward
2019-08-20,5743,From Within – 16.3,Ward
2019-08-24,7205,From Within – 16.4,Ward
2019-08-27,5955,From Within – 16.5,Ward
2019-08-31,8418,From Within – 16.6,Ward
2019-09-03,7074,From Within – 16.7,Ward
2019-09-07,10024,From Within – 16.8,Ward
2019-09-10,6866,From Within – 16.9,Ward
2019-09-14,7666,From Within – 16.10,Ward
2019-09-17,5945,From Within – 16.11,Ward
2019-09-21,8392,From Within – 16.12,Ward
2019-09-24,10324,From Within – 16.y,Ward
2019-09-28,9175,From Within – 16.z,Ward
2019-10-01,9556,Sundown – 17.1,Ward
2019-10-05,7484,Sundown – 17.2,Ward
2019-10-08,7017,Sundown – 17.3,Ward
2019-10-12,9739,Sundown – 17.4,Ward
2019-10-15,7710,Sundown – 17.5,Ward
2019-10-19,9201,Sundown – 17.6,Ward
2019-10-22,6486,Sundown – 17.7,Ward
2019-10-26,9674,Sundown – 17.8,Ward
2019-10-29,7742,Sundown – 17.9,Ward
2019-11-02,7506,Sundown – 17.10,Ward
2019-11-05,10240,Interlude 17.x (Sundown),Ward
2019-11-09,11836,Interlude 17.y (Sundown),Ward
2019-11-12,10144,Interlude 17.z (Sundown),Ward
2019-11-16,6296,Radiation – 18.1,Ward
2019-11-19,9484,Radiation – 18.2,Ward
2019-11-23,6825,Radiation – 18.3,Ward
2019-11-26,8782,Radiation – 18.4,Ward
2019-11-30,7441,Radiation – 18.5,Ward
2019-12-03,9013,Radiation – 18.6,Ward
2019-12-07,8883,Radiation – 18.7,Ward
2019-12-10,9736,Radiation – 18.8,Ward
2019-12-14,7697,Radiation – 18.9,Ward
2019-12-17,5414,Radiation – 18.10,Ward
2019-12-21,8448,Interlude 18.z (Radiation),Ward
2019-12-24,7966,Infrared – 19.1,Ward
2019-12-28,5864,Infrared – 19.2,Ward
2020-01-01,9449,Interlude 19.a,Ward
2020-01-04,5901,Infrared – 19.3,Ward
2020-01-07,7087,Infrared – 19.4,Ward
2020-01-11,8188,Infrared – 19.b,Ward
2020-01-14,9982,Infrared – 19.c,Ward
2020-01-18,6245,Infrared – 19.5,Ward
2020-01-21,8342,Infrared – 19.6,Ward
2020-01-25,7900,Infrared – 19.d,Ward
2020-01-28,7472,Infrared – 19.e,Ward
2020-02-02,5604,Infrared – 19.7,Ward
2020-02-04,5843,Infrared – 19.8,Ward
2020-02-08,5877,Infrared – 19.9,Ward
2020-02-11,7686,Infrared – 19.f,Ward
2020-02-15,5891,Infrared – 19.10,Ward
2020-02-18,6896,Infrared – 19.g,Ward
2020-02-23,6824,Infrared – 19.z,Ward
2020-02-25,6018,Last – 20.1,Ward
2020-02-29,5591,Last – 20.2,Ward
2020-03-03,6017,Last – 20.3,Ward
2020-03-07,5410,Last – 20.4,Ward
2020-03-10,5291,Last – 20.5,Ward
2020-03-15,5685,Last – 20.6,Ward
2020-03-17,6641,Last – 20.7,Ward
2020-03-21,6460,Last – 20.8,Ward
2020-03-24,5532,Last – 20.9,Ward
2020-03-28,5107,Last – 20.a,Ward
2020-03-31,6494,Last – 20.10,Ward
2020-04-04,6873,Last – 20.b,Ward
2020-04-07,5488,Last – 20.11,Ward
2020-04-11,5884,Last – 20.e1,Ward
2020-04-14,6234,Last – 20.e2,Ward
2020-04-18,6720,Last – 20.e3,Ward
2020-04-21,6118,Last – 20.e4,Ward
2020-04-25,3850,Last – 20.e5,Ward
2020-04-28,7858,Last – 20.e6,Ward
2020-05-02,7692,Last – 20.end,Ward
