date,wordcount,chapter,work
2013-04-27,7201,Interlude 21 (Donation Bonus #1),Worm
2013-04-30,8435,Interlude 21,Worm
2013-05-04,8443,Cell 22.1,Worm
2013-05-07,7018,Cell 22.2,Worm
2013-05-09,7827,Cell 22.3,Worm
2013-05-11,8253,Cell 22.4,Worm
2013-05-14,5930,Cell 22.5,Worm
2013-05-16,5998,Cell 22.6,Worm
2013-05-18,8006,Interlude 22,Worm
2013-05-21,9506,Interlude 22 (Donation Bonus #1),Worm
2013-05-25,10195,Drone 23.1,Worm
2013-05-28,9226,Drone 23.2,Worm
2013-05-30,5577,Drone 23.3,Worm
2013-06-01,6940,Drone 23.4,Worm
2013-06-04,7551,Drone 23.5,Worm
2013-06-06,7704,Interlude 23,Worm
2013-06-08,7583,Crushed 24.1,Worm
2013-06-11,7933,Crushed 24.2,Worm
2013-06-15,8479,Crushed 24.3,Worm
2013-06-18,9544,Crushed 24.4,Worm
2013-06-20,6888,Crushed 24.5,Worm
2013-06-22,10398,Interlude 24,Worm
2013-06-25,7415,Interlude 24 (Donation Bonus #1),Worm
2013-06-29,6586,Scarab 25.1,Worm
2013-07-02,5573,Scarab 25.2,Worm
2013-07-06,11630,Scarab 25.3,Worm
2013-07-09,7501,Scarab 25.4,Worm
2013-07-11,7705,Scarab 25.5,Worm
2013-07-13,8394,Scarab 25.6,Worm
2013-07-16,10051,Interlude 25,Worm
2013-07-18,7470,Sting 26.1,Worm
2013-07-20,8334,Sting 26.2,Worm
2013-07-23,10278,Sting 26.3,Worm
2013-07-25,7793,Interlude 26 (Donation Bonus #1),Worm
2013-07-27,9603,Sting 26.4,Worm
2013-07-30,7572,Sting 26.5,Worm
2013-08-03,8910,Sting 26.6,Worm
2013-08-06,8443,Interlude 26a,Worm
2013-08-08,8635,Interlude 26b,Worm
2013-08-10,10940,Interlude 26,Worm
2013-08-13,6524,Extinction 27.1,Worm
2013-08-17,7497,Extinction 27.2,Worm
2013-08-20,8121,Extinction 27.3,Worm
2013-08-22,7259,Extinction 27.4,Worm
2013-08-24,8103,Extinction 27.5,Worm
2013-08-27,8853,Interlude 27,Worm
2013-08-29,4,Interlude 27b,Worm
2013-08-31,7946,Cockroaches 28.1,Worm
2013-09-03,6255,Cockroaches 28.2,Worm
2013-09-05,6530,Cockroaches 28.3,Worm
2013-09-07,7156,Cockroaches 28.4,Worm
2013-09-10,7480,Cockroaches 28.5,Worm
2013-09-14,8094,Cockroaches 28.6,Worm
2013-09-17,8524,Interlude 28,Worm
2013-09-19,7317,Venom 29.1,Worm
2013-09-21,7655,Venom 29.2,Worm
2013-09-24,6735,Venom 29.3,Worm
2013-09-26,6620,Venom 29.4,Worm
2013-09-28,7574,Venom 29.5,Worm
2013-10-01,6490,Venom 29.6,Worm
2013-10-03,8432,Venom 29.7,Worm
2013-10-05,7356,Venom 29.8,Worm
2013-10-08,7003,Venom 29.9,Worm
2013-10-12,10053,Interlude 29,Worm
2013-10-15,6854,Speck 30.1,Worm
2013-10-17,7642,Speck 30.2,Worm
2013-10-19,8355,Speck 30.3,Worm
2013-10-22,8018,Speck 30.4,Worm
2013-10-24,8848,Speck 30.5,Worm
2013-10-26,9643,Speck 30.6,Worm
2013-10-29,7196,Speck 30.7,Worm
2013-11-02,7352,Teneral e.1,Worm
2013-11-05,8030,Teneral e.2,Worm
2013-11-09,9222,Teneral e.3,Worm
2013-11-12,7369,Teneral e.4,Worm
2013-11-16,8234,Teneral e.5,Worm
2013-11-19,8211,Interlude: End,Worm
2015-03-10,371,Moving On…,Worm
2017-10-21,2125,Glow-worm – P.1,Worm
2017-10-24,2742,Glow-worm – P.2,Worm
2017-10-26,2933,Glow-worm – P.3,Worm
2017-10-28,2929,Glow-worm – P.4,Worm
2017-10-31,901,Glow-worm – P.5,Worm
2017-10-31,3693,Glow-worm – P.6,Worm
2017-11-02,3986,Glow-worm – P.7,Worm
2017-11-04,4718,Glow-worm – P.8,Worm
2017-11-07,3922,Glow-worm – P.9,Worm
2017-11-11,23,Glow-worm – P.10 (Sequel is live!),Worm
