date,wordcount,chapter,work
2017-01-03,5583,Head over Heels – 16.4,Twig
2017-01-07,6289,Head over Heels – 16.5,Twig
2017-01-10,6479,Head over Heels – 16.6,Twig
2017-01-14,5332,Head over Heels – 16.7,Twig
2017-01-17,5771,Head over Heels – 16.8,Twig
2017-01-21,6121,Head over Heels – 16.9,Twig
2017-01-24,5055,Head over Heels – 16.10,Twig
2017-01-26,4660,Head over Heels – 16.11,Twig
2017-01-28,6432,Head over Heels – 16.12,Twig
2017-01-31,6087,Head over Heels – 16.13,Twig
2017-02-04,5587,Lamb (Arc 16),Twig
2017-02-07,4203,Gut Feeling – 17.1,Twig
2017-02-09,4842,Gut Feeling – 17.2,Twig
2017-02-11,4668,Gut Feeling – 17.3,Twig
2017-02-14,4991,Gut Feeling – 17.4,Twig
2017-02-18,4738,Gut Feeling – 17.5,Twig
2017-02-21,4529,Gut Feeling – 17.6,Twig
2017-02-23,4587,Gut Feeling – 17.7,Twig
2017-02-25,3791,Gut Feeling – 17.8,Twig
2017-02-28,4200,Gut Feeling – 17.9,Twig
2017-03-04,4291,Gut Feeling – 17.10,Twig
2017-03-07,3738,Gut Feeling – 17.11,Twig
2017-03-11,5297,Gut Feeling – 17.12,Twig
2017-03-14,4210,Gut Feeling – 17.13,Twig
2017-03-18,4334,Gut Feeling – 17.14,Twig
2017-03-21,4213,Gut Feeling – 17.15,Twig
2017-03-23,5170,Gut Feeling – 17.16,Twig
2017-03-25,6124,Gut Feeling – 17.17,Twig
2017-03-28,5132,Gut Feeling – 17.18,Twig
2017-04-01,7336,Lamb (Arc 17),Twig
2017-04-04,6491,Dog Eat Dog – 18.1,Twig
2017-04-06,4399,Dog Eat Dog – 18.2,Twig
2017-04-08,4963,Dog Eat Dog – 18.3,Twig
2017-04-11,4453,Dog Eat Dog – 18.4,Twig
2017-04-15,3811,Dog Eat Dog – 18.5,Twig
2017-04-18,4388,Dog Eat Dog – 18.6,Twig
2017-04-20,5363,Dog Eat Dog – 18.7,Twig
2017-04-22,3498,Enemy I (Arc 18),Twig
2017-04-25,6455,Dog Eat Dog – 18.8,Twig
2017-04-29,7062,Lamb I (Arc 18),Twig
2017-05-02,5237,Dog Eat Dog – 18.9,Twig
2017-05-06,7347,Enemy II (Arc 18),Twig
2017-05-09,5003,Lamb II (Arc 18),Twig
2017-05-13,5843,Dog Eat Dog – 18.10,Twig
2017-05-16,7222,Lamb III (Arc 18),Twig
2017-05-20,7077,Enemy III (Arc 18),Twig
2017-05-23,6122,Enemy IV (Arc 18),Twig
2017-05-27,6389,Enemy V (Arc 18),Twig
2017-05-30,6392,Root and Branch – 19.1,Twig
2017-06-03,5572,Root and Branch – 19.2,Twig
2017-06-06,5559,Root and Branch – 19.3,Twig
2017-06-10,6789,Root and Branch – 19.4,Twig
2017-06-13,5316,Root and Branch – 19.5,Twig
2017-06-17,5340,Root and Branch – 19.6,Twig
2017-06-20,4309,Root and Branch – 19.7,Twig
2017-06-24,5715,Root and Branch – 19.8,Twig
2017-06-27,4354,Root and Branch – 19.9,Twig
2017-07-01,4717,Root and Branch – 19.10,Twig
2017-07-04,6606,Root and Branch – 19.11,Twig
2017-07-08,4597,Root and Branch – 19.12,Twig
2017-07-11,5720,Root and Branch – 19.13,Twig
2017-07-15,5581,Root and Branch – 19.14,Twig
2017-07-18,6920,Root and Branch – 19.15,Twig
2017-07-22,6104,Enemy (Arc 19),Twig
2017-07-25,5423,Crown of Thorns – 20.1,Twig
2017-07-29,4315,Crown of Thorns – 20.2,Twig
2017-08-01,4663,Crown of Thorns – 20.3,Twig
2017-08-05,4847,Crown of Thorns – 20.4,Twig
2017-08-08,4564,Enemy (Arc 20),Twig
2017-08-12,5408,Crown of Thorns – 20.5,Twig
2017-08-15,5217,Crown of Thorns – 20.6,Twig
2017-08-19,4733,Crown of Thorns – 20.7,Twig
2017-08-22,4533,Crown of Thorns – 20.8,Twig
2017-08-26,4521,Crown of Thorns – 20.9,Twig
2017-08-29,5928,Crown of Thorns – 20.10,Twig
2017-09-02,4995,Crown of Thorns – 20.11,Twig
2017-09-05,4621,Crown of Thorns – 20.12,Twig
2017-09-09,4766,Crown of Thorns – 20.13,Twig
2017-09-12,4226,Crown of Thorns – 20.14,Twig
2017-09-16,5217,Crown of Thorns – 20.15,Twig
2017-09-19,5823,Crown of Thorns – 20.16,Twig
2017-09-23,5265,Crown of Thorns – 20.17,Twig
2017-09-26,4771,Crown of Thorns – 20.18,Twig
2017-09-30,5549,Crown of Thorns – 20.19,Twig
2017-10-03,6303,Crown of Thorns – 20.20,Twig
2017-10-07,5846,Forest for the Trees – e.1,Twig
2017-10-10,5407,Forest for the Trees – e.2,Twig
2017-10-14,4654,Forest for the Trees – e.3,Twig
2017-10-17,7278,Forest for the Trees – e.4,Twig
