date,wordcount,chapter,work,author
2019-10-31,3161,Chapter 321 Relaxed Exploration,Azarinth Healer,Rhaegar
2019-11-01,3103,Chapter 322 Traps and Treasure,Azarinth Healer,Rhaegar
2019-11-02,3091,Chapter 323 The Beach Episode,Azarinth Healer,Rhaegar
2019-11-03,3092,Chapter 324 The Path Ahead,Azarinth Healer,Rhaegar
2019-11-05,3134,Chapter 325 The Vault,Azarinth Healer,Rhaegar
2019-11-06,3215,Chapter 326 Cleaning out a Ruin,Azarinth Healer,Rhaegar
2019-11-07,3112,Chapter 327 Theories and Assumptions,Azarinth Healer,Rhaegar
2019-11-08,3070,Chapter 328 Rescue Mission,Azarinth Healer,Rhaegar
2019-11-09,3125,Chapter 329 Monsters left untouched,Azarinth Healer,Rhaegar
2019-11-10,3074,Chapter 330 Weather,Azarinth Healer,Rhaegar
2019-11-12,3099,Chapter 331 A relaxing Vacation,Azarinth Healer,Rhaegar
2019-11-13,3147,Chapter 332 The Uses of Gold,Azarinth Healer,Rhaegar
2019-11-14,3104,Chapter 333 The Way Back,Azarinth Healer,Rhaegar
2019-11-15,3108,Chapter 334 Priorities,Azarinth Healer,Rhaegar
2019-11-16,3198,Chapter 335 Catching up,Azarinth Healer,Rhaegar
2019-11-17,3145,Chapter 336 Revelations,Azarinth Healer,Rhaegar
2019-11-19,3139,Chapter 337 Plans put in motion,Azarinth Healer,Rhaegar
2019-11-20,3174,Chapter 338 Sparky,Azarinth Healer,Rhaegar
2019-11-21,3280,Chapter 339 Skill Testing,Azarinth Healer,Rhaegar
2019-11-22,3131,Chapter 340 Craftswoman,Azarinth Healer,Rhaegar
2019-11-23,3109,Chapter 341 Maximum Overbusiness,Azarinth Healer,Rhaegar
2019-11-24,3227,Chapter 342 Are you not entertained?,Azarinth Healer,Rhaegar
2019-11-26,3096,Chapter 343 A Breath of Air,Azarinth Healer,Rhaegar
2019-11-27,3180,Chapter 344 Influence of the Rich,Azarinth Healer,Rhaegar
2019-11-28,3140,Chapter 345 Corpses,Azarinth Healer,Rhaegar
