date,wordcount,chapter,work
2015-08-14,5805,7 – 7,The Gods Are Bastards
2015-08-17,4746,7 – 8,The Gods Are Bastards
2015-08-19,6107,7 – 9,The Gods Are Bastards
2015-08-21,4478,7 – 10,The Gods Are Bastards
2015-08-24,7782,7 – 11,The Gods Are Bastards
2015-08-25,3557,7 – 12,The Gods Are Bastards
2015-08-26,5343,7 – 13,The Gods Are Bastards
2015-08-28,2517,Epilogue – Volume 2,The Gods Are Bastards
2015-08-31,11684,"Bonus #10: Along Came a Spider, part 4",The Gods Are Bastards
2015-09-02,6081,"Bonus #10.5: Along Came a Spider, part 4A",The Gods Are Bastards
2015-09-04,4972,"Bonus #11: Along Came a Spider, part 3",The Gods Are Bastards
2015-09-07,11933,"Bonus #12: Along Came a Spider, Part 2",The Gods Are Bastards
2015-09-10,8661,"Bonus #12, continued",The Gods Are Bastards
2015-09-11,7345,"Bonus #13: Along Came a Spider, part 1",The Gods Are Bastards
2015-09-14,3655,Prologue – Volume 3,The Gods Are Bastards
2015-09-16,4917,8 – 1,The Gods Are Bastards
2015-09-18,4933,8 – 2,The Gods Are Bastards
2015-09-21,4482,8 – 3,The Gods Are Bastards
2015-09-23,4050,8 – 4,The Gods Are Bastards
2015-09-25,4033,8 – 5,The Gods Are Bastards
2015-09-28,5608,8 – 6,The Gods Are Bastards
2015-09-30,3839,8 – 7,The Gods Are Bastards
2015-10-05,4798,8 – 8,The Gods Are Bastards
2015-10-07,5287,8 – 9,The Gods Are Bastards
2015-10-09,4407,8 – 10,The Gods Are Bastards
2015-10-12,4519,8 – 11,The Gods Are Bastards
2015-10-14,5504,8 – 12,The Gods Are Bastards
2015-10-16,4251,8 – 13,The Gods Are Bastards
2015-10-19,5866,8 – 14,The Gods Are Bastards
2015-10-21,4852,8 – 15,The Gods Are Bastards
2015-10-26,5700,8 – 16,The Gods Are Bastards
2015-10-28,3241,8 – 17,The Gods Are Bastards
2015-10-30,4698,8 – 18,The Gods Are Bastards
2015-11-04,5186,8 – 19,The Gods Are Bastards
2015-11-06,4679,8 – 20,The Gods Are Bastards
2015-11-09,4402,8 – 21,The Gods Are Bastards
2015-11-11,3860,8 – 22,The Gods Are Bastards
2015-11-13,4248,8 – 23,The Gods Are Bastards
2015-11-16,5047,8 – 24,The Gods Are Bastards
2015-11-18,6709,8 – 25,The Gods Are Bastards
2015-11-20,3096,8 – 26,The Gods Are Bastards
2015-11-23,4610,9 – 1,The Gods Are Bastards
2015-11-25,3484,9 – 2,The Gods Are Bastards
2015-11-27,3787,9 – 3,The Gods Are Bastards
2015-11-30,5017,9 – 4,The Gods Are Bastards
2015-12-02,4924,9 – 5,The Gods Are Bastards
2015-12-05,5012,9 – 6,The Gods Are Bastards
2015-12-07,3958,9 – 7,The Gods Are Bastards
2015-12-09,4216,9 – 8,The Gods Are Bastards
2015-12-11,4495,9 – 9,The Gods Are Bastards
2015-12-14,6090,9 – 10,The Gods Are Bastards
2015-12-16,5338,9 – 11,The Gods Are Bastards
2015-12-21,5494,9 – 12,The Gods Are Bastards
2015-12-23,4141,9 – 13,The Gods Are Bastards
2015-12-28,5243,9 – 14,The Gods Are Bastards
2015-12-30,4995,9 – 15,The Gods Are Bastards
2016-01-01,5948,9 – 16,The Gods Are Bastards
2016-01-04,4126,9 – 17,The Gods Are Bastards
2016-01-06,5575,9 – 18,The Gods Are Bastards
2016-01-08,4873,9 – 19,The Gods Are Bastards
2016-01-11,5289,9 – 20,The Gods Are Bastards
2016-01-13,5341,9 – 21,The Gods Are Bastards
2016-01-15,4665,9 – 22,The Gods Are Bastards
2016-01-18,5102,9 – 23,The Gods Are Bastards
2016-01-20,5874,9 – 24,The Gods Are Bastards
2016-01-22,6947,9 – 25,The Gods Are Bastards
2016-01-25,3991,9 – 26,The Gods Are Bastards
2016-01-27,4459,9 – 27,The Gods Are Bastards
2016-02-01,4912,9 – 28,The Gods Are Bastards
