date,wordcount,chapter,work
2018-07-10,9281,5.00,The Wandering Inn
2018-07-14,15361,5.01,The Wandering Inn
2018-07-17,12977,5.02,The Wandering Inn
2018-07-21,10407,5.03,The Wandering Inn
2018-07-21,9038,5.04,The Wandering Inn
2018-07-24,13224,5.05,The Wandering Inn
2018-07-27,14558,5.06 M,The Wandering Inn
2018-07-28,12484,5.07,The Wandering Inn
2018-07-31,16298,5.08,The Wandering Inn
2018-08-04,14311,Interlude – Flos,The Wandering Inn
2018-08-07,10867,5.09 E,The Wandering Inn
2018-08-11,14365,5.10 E,The Wandering Inn
2018-08-14,17439,5.11 E,The Wandering Inn
2018-08-18,13662,5.12,The Wandering Inn
2018-08-21,18381,5.13,The Wandering Inn
2018-08-25,13810,5.14,The Wandering Inn
2018-08-28,11773,5.15,The Wandering Inn
2018-09-01,12877,5.16 S,The Wandering Inn
2018-09-01,11854,5.17 S,The Wandering Inn
2018-09-04,18212,5.18 S,The Wandering Inn
2018-09-08,10189,5.19 G,The Wandering Inn
2018-09-11,15177,5.20 G,The Wandering Inn
2018-09-15,14509,5.21 E,The Wandering Inn
2018-09-18,11818,5.22 G,The Wandering Inn
2018-09-22,16457,5.23 G,The Wandering Inn
2018-09-29,15051,5.24 L,The Wandering Inn
2018-10-02,10101,5.25 L,The Wandering Inn
2018-10-06,13797,5.26 L,The Wandering Inn
2018-10-09,14484,5.27,The Wandering Inn
2018-10-13,12227,5.28,The Wandering Inn
2018-10-16,18994,5.29,The Wandering Inn
2018-10-19,34322,Glossary,The Wandering Inn
2018-10-20,12213,5.30 G,The Wandering Inn
2018-10-23,12078,5.31 G,The Wandering Inn
2018-10-27,14602,5.32 G,The Wandering Inn
2018-10-30,15473,5.33 B,The Wandering Inn
2018-11-01,12965,Interlude – Blackmage,The Wandering Inn
2018-11-03,15217,5.34,The Wandering Inn
2018-11-06,16714,5.35 H,The Wandering Inn
2018-11-10,18638,5.36,The Wandering Inn
2018-11-13,11839,5.37 G,The Wandering Inn
2018-11-17,18335,5.38,The Wandering Inn
2018-11-20,17578,5.39,The Wandering Inn
2018-11-24,14509,5.40,The Wandering Inn
2018-11-27,19522,5.41,The Wandering Inn
2018-12-01,19488,5.42,The Wandering Inn
2018-12-04,20383,5.43,The Wandering Inn
2018-12-06,4846,Interlude – Niers,The Wandering Inn
2018-12-08,20380,5.44,The Wandering Inn
2018-12-11,12593,5.45,The Wandering Inn
2018-12-15,19796,5.46,The Wandering Inn
2018-12-18,12964,5.47 G,The Wandering Inn
2018-12-22,18147,5.48 G,The Wandering Inn
2018-12-25,18219,5.49,The Wandering Inn
2018-12-29,14527,5.50 G,The Wandering Inn
2018-12-30,5450,Interlude – Bird,The Wandering Inn
2019-01-08,19357,5.51 G,The Wandering Inn
2019-01-12,22672,5.52,The Wandering Inn
2019-01-15,16961,5.53,The Wandering Inn
2019-01-19,11093,5.54 (Non-Canon),The Wandering Inn
2019-01-22,27562,5.54,The Wandering Inn
2019-01-26,21939,Interlude – Krshia,The Wandering Inn
2019-01-29,12461,5.55 G,The Wandering Inn
2019-02-02,13682,5.56 G,The Wandering Inn
2019-02-05,16794,5.57,The Wandering Inn
2019-02-09,21364,5.58,The Wandering Inn
2019-02-12,21311,5.59,The Wandering Inn
2019-02-16,7028,Interlude – Pebblesnatch and Garry,The Wandering Inn
2019-02-16,19855,5.60,The Wandering Inn
2019-02-19,16589,5.61,The Wandering Inn
2019-02-26,31191,5.62,The Wandering Inn
2019-03-02,18469,Interlude,The Wandering Inn
2019-03-19,19722,6.00,The Wandering Inn
2019-03-23,18703,6.01,The Wandering Inn
2019-03-26,17502,6.02,The Wandering Inn
2019-03-30,13186,6.03,The Wandering Inn
2019-04-02,20083,6.04 D,The Wandering Inn
2019-04-06,17321,6.05 D,The Wandering Inn
2019-04-09,27876,6.06 D,The Wandering Inn
2019-04-13,20893,6.07 D,The Wandering Inn
2019-04-16,24553,6.08,The Wandering Inn
2019-04-20,23062,6.09,The Wandering Inn
2019-04-23,15501,6.10,The Wandering Inn
2019-04-27,16302,6.11,The Wandering Inn
2019-04-30,25086,6.12 K,The Wandering Inn
2019-05-04,31472,6.13 K,The Wandering Inn
2019-05-07,16854,6.14 K,The Wandering Inn
2019-05-11,20278,6.15 K,The Wandering Inn
2019-05-14,23327,6.16,The Wandering Inn
2019-05-18,17393,6.17 S,The Wandering Inn
2019-05-21,21979,6.18 H,The Wandering Inn
2019-05-25,19499,6.19 H,The Wandering Inn
2019-05-28,19834,6.20 D,The Wandering Inn
2019-06-01,24884,6.21 D,The Wandering Inn
2019-06-04,28582,6.22 D,The Wandering Inn
2019-06-08,29182,6.23 D,The Wandering Inn
2019-06-11,15948,6.24 D,The Wandering Inn
2019-06-15,17130,6.25,The Wandering Inn
2019-06-18,18248,6.26,The Wandering Inn
2019-06-22,23563,6.27 M,The Wandering Inn
2019-06-25,16474,6.28,The Wandering Inn
2019-06-29,27743,6.29,The Wandering Inn
2019-07-02,23529,Interlude – Embria,The Wandering Inn
2019-07-13,23165,6.30,The Wandering Inn
2019-07-16,23900,6.31,The Wandering Inn
2019-07-20,32441,6.32,The Wandering Inn
2019-07-23,13520,6.33 E,The Wandering Inn
2019-07-27,22715,6.34 E,The Wandering Inn
2019-07-30,20558,Interlude – Numbtongue (Pt.1),The Wandering Inn
2019-08-03,29928,Interlude – Numbtongue (Pt.2),The Wandering Inn
2019-08-06,11321,6.35,The Wandering Inn
2019-08-10,23049,6.36 E,The Wandering Inn
2019-08-13,17177,6.37 E,The Wandering Inn
2019-08-17,21184,6.38,The Wandering Inn
2019-08-20,18524,6.39,The Wandering Inn
2019-08-24,20726,6.40 E,The Wandering Inn
2019-08-27,31832,6.41 E,The Wandering Inn
2019-08-31,25027,Interlude – Two Rats,The Wandering Inn
2019-09-03,10352,Interlude – Rufelt,The Wandering Inn
2019-09-07,22623,6.42 E,The Wandering Inn
2019-09-10,31251,6.43 E,The Wandering Inn
