date,wordcount,chapter,work,author
2019-12-30,9443,Painless,Worth the Candle,Alexander Wales
2019-12-30,6786,Transgressions,Worth the Candle,Alexander Wales
2020-01-14,11840,The Further Adventures of Valencia the Red,Worth the Candle,Alexander Wales
2020-03-02,8819,Mirror Room,Worth the Candle,Alexander Wales
2020-03-02,10154,Paladin,Worth the Candle,Alexander Wales
2020-03-02,13099,Penndraig's Rules of Order,Worth the Candle,Alexander Wales
2020-03-02,8582,Common Law,Worth the Candle,Alexander Wales
2020-03-02,8323,B-Side,Worth the Candle,Alexander Wales
2020-03-02,6737,To Know One's Onions,Worth the Candle,Alexander Wales
2020-03-02,5542,Overwhelming Violence,Worth the Candle,Alexander Wales
2020-03-28,8252,Cooldown,Worth the Candle,Alexander Wales
2020-03-28,6263,Coda I,Worth the Candle,Alexander Wales
2020-03-28,5588,Coda II,Worth the Candle,Alexander Wales
2020-03-28,9912,Family,Worth the Candle,Alexander Wales
2020-04-30,8243,Notes II,Worth the Candle,Alexander Wales
2020-04-30,6073,Second Degrees,Worth the Candle,Alexander Wales
2020-04-30,7188,Prurient Interest,Worth the Candle,Alexander Wales
2020-04-30,7960,Nearest and Dearest,Worth the Candle,Alexander Wales
2020-04-30,10278,Feeling Blue,Worth the Candle,Alexander Wales
2020-05-03,8040,The Aviary,Worth the Candle,Alexander Wales
2020-05-03,6284,Star Pupil,Worth the Candle,Alexander Wales
2020-05-03,5963,Where the Streets Run Red,Worth the Candle,Alexander Wales
2020-05-03,8691,Open Veins,Worth the Candle,Alexander Wales
2020-05-03,8802,A Bloody Mess,Worth the Candle,Alexander Wales
2020-08-12,10454,Parallel Lines,Worth the Candle,Alexander Wales
2020-08-12,8658,An Elevated Monologue,Worth the Candle,Alexander Wales
2020-08-12,9934,On the Merits of Eternal Suffering,Worth the Candle,Alexander Wales
2020-08-12,4706,Orison,Worth the Candle,Alexander Wales
2020-08-12,5054,Push and Pull,Worth the Candle,Alexander Wales
2020-08-12,5385,Gilding the Lily,Worth the Candle,Alexander Wales
